Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
Los Angeles,Job Title,2017-06,Pharmacy Technician,Median Base Pay,36908.0,0.039,6,2017
Los Angeles,Job Title,2017-06,Graphic Designer,Median Base Pay,55534.0,-0.001,6,2017
Los Angeles,Job Title,2017-06,Web Developer,Median Base Pay,78355.0,-0.008,6,2017
Los Angeles,Job Title,2017-06,Business Development Manager,Median Base Pay,77015.0,-0.023,6,2017
Los Angeles,Job Title,2017-06,Data Scientist,Median Base Pay,114390.0,0.024,6,2017
Los Angeles,Job Title,2017-06,Buyer,Median Base Pay,63652.0,-0.013000000000000001,6,2017
Los Angeles,Job Title,2017-06,Data Analyst,Median Base Pay,70941.0,0.013999999999999999,6,2017
Los Angeles,Job Title,2017-06,Electrical Engineer,Median Base Pay,86216.0,0.022000000000000002,6,2017
Los Angeles,Job Title,2017-06,Attorney,Median Base Pay,125314.0,0.001,6,2017
Los Angeles,Job Title,2017-06,Human Resources Manager,Median Base Pay,83839.0,0.01,6,2017
Los Angeles,Job Title,2017-06,Technician,Median Base Pay,52422.0,0.021,6,2017
Los Angeles,Job Title,2017-06,Restaurant Cook,Median Base Pay,32543.0,0.066,6,2017
Los Angeles,Job Title,2017-06,Production Manager,Median Base Pay,77119.0,0.017,6,2017
Los Angeles,Job Title,2017-06,Manufacturing Engineer,Median Base Pay,79856.0,0.031,6,2017
Los Angeles,Job Title,2017-06,Retail Key Holder,Median Base Pay,33143.0,-0.006,6,2017
Los Angeles,Job Title,2017-06,Paralegal,Median Base Pay,59877.0,0.012,6,2017
Los Angeles,Job Title,2017-06,Java Developer,Median Base Pay,83074.0,-0.013999999999999999,6,2017
Los Angeles,Job Title,2017-06,Warehouse Associate,Median Base Pay,47336.0,0.043,6,2017
Los Angeles,Job Title,2017-06,Property Manager,Median Base Pay,62232.0,0.004,6,2017
Los Angeles,Job Title,2017-06,Producer,Median Base Pay,77738.0,0.013000000000000001,6,2017
Los Angeles,Job Title,2017-06,Quality Engineer,Median Base Pay,81442.0,0.022000000000000002,6,2017
Los Angeles,Job Title,2017-06,Operations Analyst,Median Base Pay,58596.0,-0.03,6,2017
Los Angeles,Job Title,2017-06,Medical Assistant,Median Base Pay,36762.0,0.011000000000000001,6,2017
Los Angeles,Job Title,2017-06,Tax Manager,Median Base Pay,106915.0,-0.017,6,2017
